beg_balance;n_accounts;iterations
1e-01;1e+02;8.430e+02
1e-01;1e+04;8.396e+03
1e-01;1e+06;8.399e+04
1e-01;1e+08;8.400e+05
1e-02;1e+02;8.460e+02
1e-02;1e+04;8.417e+03
1e-02;1e+06;8.420e+04
1e-02;1e+08;8.421e+05
1e-03;1e+02;8.490e+02
1e-03;1e+04;8.438e+03
1e-03;1e+06;8.440e+04
1e-03;1e+08;8.440e+05
1e-04;1e+02;8.520e+02
1e-04;1e+04;8.458e+03
1e-04;1e+06;8.459e+04
1e-04;1e+08;8.459e+05
1e-05;1e+02;8.550e+02
1e-05;1e+04;8.479e+03
1e-05;1e+06;8.478e+04
1e-05;1e+08;8.478e+05
1e-06;1e+02;8.580e+02
1e-06;1e+04;8.499e+03
1e-06;1e+06;8.498e+04
1e-06;1e+08;8.498e+05
1e-07;1e+02;8.610e+02
1e-07;1e+04;8.519e+03
1e-07;1e+06;8.517e+04
1e-07;1e+08;8.517e+05
1e-08;1e+02;8.640e+02
1e-08;1e+04;8.540e+03
1e-08;1e+06;8.536e+04
1e-08;1e+08;8.536e+05
