crash_pct,ltv,decay,bd_instant_pct,bd_bound_pct
20.0000,0.3333,0.8909,0.0000,0.0000
20.0000,0.3333,0.9439,0.0000,0.0000
20.0000,0.3333,0.9715,0.0000,0.0000
20.0000,0.5000,0.8909,0.0000,0.0000
20.0000,0.5000,0.9439,0.0000,0.0000
20.0000,0.5000,0.9715,0.0000,0.0000
20.0000,0.6667,0.8909,0.0000,0.0000
20.0000,0.6667,0.9439,0.0000,0.0000
20.0000,0.6667,0.9715,0.0000,0.0000
20.0000,0.7500,0.8909,0.0000,0.0000
20.0000,0.7500,0.9439,0.0000,0.0000
20.0000,0.7500,0.9715,0.0000,0.0000
30.0000,0.3333,0.8909,0.0000,0.0000
30.0000,0.3333,0.9439,0.0000,0.0000
30.0000,0.3333,0.9715,0.0000,0.0000
30.0000,0.5000,0.8909,0.0000,0.0000
30.0000,0.5000,0.9439,0.0000,0.0000
30.0000,0.5000,0.9715,0.0000,0.0000
30.0000,0.6667,0.8909,0.0000,0.0000
30.0000,0.6667,0.9439,0.0000,0.0000
30.0000,0.6667,0.9715,0.0000,0.0000
30.0000,0.7500,0.8909,0.0633,0.1343
30.0000,0.7500,0.9439,0.0633,0.2034
30.0000,0.7500,0.9715,0.0633,0.3414
40.0000,0.3333,0.8909,0.0000,0.0000
40.0000,0.3333,0.9439,0.0000,0.0000
40.0000,0.3333,0.9715,0.0000,0.0000
40.0000,0.5000,0.8909,0.0000,0.0000
40.0000,0.5000,0.9439,0.0000,0.0000
40.0000,0.5000,0.9715,0.0000,0.0000
40.0000,0.6667,0.8909,0.1611,0.3160
40.0000,0.6667,0.9439,0.1611,0.4632
40.0000,0.6667,0.9715,0.1611,0.7614
40.0000,0.7500,0.8909,0.9709,1.9045
40.0000,0.7500,0.9439,0.9709,2.7914
40.0000,0.7500,0.9715,0.9709,4.5886
50.0000,0.3333,0.8909,0.0000,0.0000
50.0000,0.3333,0.9439,0.0000,0.0000
50.0000,0.3333,0.9715,0.0000,0.0000
50.0000,0.5000,0.8909,0.0000,0.0000
50.0000,0.5000,0.9439,0.0000,0.0000
50.0000,0.5000,0.9715,0.0000,0.0000
50.0000,0.6667,0.8909,1.8998,3.5074
50.0000,0.6667,0.9439,1.8998,5.0784
50.0000,0.6667,0.9715,1.8998,8.1840
50.0000,0.7500,0.8909,4.9826,9.1989
50.0000,0.7500,0.9439,4.9826,13.3194
50.0000,0.7500,0.9715,4.9826,21.4646
70.0000,0.3333,0.8909,0.1611,0.2120
70.0000,0.3333,0.9439,0.1611,0.2585
70.0000,0.3333,0.9715,0.1611,0.3514
70.0000,0.5000,0.8909,9.6720,12.7279
70.0000,0.5000,0.9439,9.6720,15.5180
70.0000,0.5000,0.9715,9.6720,21.0983
70.0000,0.6667,0.8909,28.9935,38.1541
70.0000,0.6667,0.9439,28.9935,46.5181
70.0000,0.6667,0.9715,28.9935,63.2460
70.0000,0.7500,0.8909,36.8329,48.4703
70.0000,0.7500,0.9439,36.8329,59.0958
70.0000,0.7500,0.9715,36.8329,80.3467
