n_honest;k_sybil;honest_cap;sybil_cap;expected;week;honest_share;sybil_share
100;50;0.5;0.5;0.3333;0;0.5042;0.4958
100;50;0.5;0.5;0.3333;1;0.5057;0.4943
100;50;0.5;0.5;0.3333;2;0.5066;0.4934
100;50;0.5;0.5;0.3333;3;0.5072;0.4928
100;50;0.5;0.5;0.3333;4;0.5078;0.4922
100;50;0.5;0.5;0.3333;5;0.5082;0.4918
100;50;0.5;0.5;0.3333;6;0.5085;0.4915
100;50;0.5;0.5;0.3333;7;0.5088;0.4912
100;50;0.5;0.5;0.3333;8;0.5091;0.4909
100;50;0.5;0.5;0.3333;9;0.5094;0.4906
100;50;0.5;0.5;0.3333;10;0.5096;0.4904
100;50;0.5;0.5;0.3333;11;0.5098;0.4902
100;50;0.5;0.5;0.3333;12;0.5100;0.4900
100;50;0.5;0.5;0.3333;13;0.5101;0.4899
100;50;0.5;0.5;0.3333;14;0.5103;0.4897
100;50;0.5;0.5;0.3333;15;0.5105;0.4895
100;50;0.5;0.5;0.3333;16;0.5106;0.4894
100;50;0.5;0.5;0.3333;17;0.5107;0.4893
100;50;0.5;0.5;0.3333;18;0.5109;0.4891
100;50;0.5;0.5;0.3333;19;0.5110;0.4890
100;50;0.5;0.5;0.3333;20;0.5111;0.4889
100;50;0.5;0.5;0.3333;21;0.5112;0.4888
100;50;0.5;0.5;0.3333;22;0.5113;0.4887
100;50;0.5;0.5;0.3333;23;0.5114;0.4886
100;50;0.5;0.5;0.3333;24;0.5115;0.4885
100;50;0.5;0.5;0.3333;25;0.5116;0.4884
100;50;0.5;0.5;0.3333;26;0.5117;0.4883
100;50;0.5;0.5;0.3333;27;0.5118;0.4882
100;50;0.5;0.5;0.3333;28;0.5118;0.4882
100;50;0.5;0.5;0.3333;29;0.5119;0.4881
100;50;0.5;0.5;0.3333;30;0.5120;0.4880
100;50;0.5;0.5;0.3333;31;0.5121;0.4879
100;50;0.5;0.5;0.3333;32;0.5121;0.4879
100;50;0.5;0.5;0.3333;33;0.5122;0.4878
100;50;0.5;0.5;0.3333;34;0.5123;0.4877
100;50;0.5;0.5;0.3333;35;0.5123;0.4877
100;50;0.5;0.5;0.3333;36;0.5124;0.4876
100;50;0.5;0.5;0.3333;37;0.5125;0.4875
100;50;0.5;0.5;0.3333;38;0.5125;0.4875
100;50;0.5;0.5;0.3333;39;0.5126;0.4874
100;50;0.5;0.5;0.3333;40;0.5126;0.4874
100;50;0.5;0.5;0.3333;41;0.5127;0.4873
100;50;0.5;0.5;0.3333;42;0.5127;0.4873
100;50;0.5;0.5;0.3333;43;0.5128;0.4872
100;50;0.5;0.5;0.3333;44;0.5129;0.4871
100;50;0.5;0.5;0.3333;45;0.5129;0.4871
100;50;0.5;0.5;0.3333;46;0.5130;0.4870
100;50;0.5;0.5;0.3333;47;0.5130;0.4870
100;50;0.5;0.5;0.3333;48;0.5131;0.4869
100;50;0.5;0.5;0.3333;49;0.5131;0.4869
100;50;0.5;0.5;0.3333;50;0.5131;0.4869
100;50;0.5;0.5;0.3333;51;0.5132;0.4868
100;50;0.5;0.5;0.3333;52;0.5132;0.4868
100;50;0.5;0.5;0.3333;53;0.5133;0.4867
100;50;0.5;0.5;0.3333;54;0.5133;0.4867
100;50;0.5;0.5;0.3333;55;0.5134;0.4866
100;50;0.5;0.5;0.3333;56;0.5134;0.4866
100;50;0.5;0.5;0.3333;57;0.5134;0.4866
100;50;0.5;0.5;0.3333;58;0.5135;0.4865
100;50;0.5;0.5;0.3333;59;0.5135;0.4865
100;100;0.5;0.5;0.5000;0;0.5000;0.5000
100;100;0.5;0.5;0.5000;1;0.5000;0.5000
100;100;0.5;0.5;0.5000;2;0.5000;0.5000
100;100;0.5;0.5;0.5000;3;0.5000;0.5000
100;100;0.5;0.5;0.5000;4;0.5000;0.5000
100;100;0.5;0.5;0.5000;5;0.5000;0.5000
100;100;0.5;0.5;0.5000;6;0.5000;0.5000
100;100;0.5;0.5;0.5000;7;0.5000;0.5000
100;100;0.5;0.5;0.5000;8;0.5000;0.5000
100;100;0.5;0.5;0.5000;9;0.5000;0.5000
100;100;0.5;0.5;0.5000;10;0.5000;0.5000
100;100;0.5;0.5;0.5000;11;0.5000;0.5000
100;100;0.5;0.5;0.5000;12;0.5000;0.5000
100;100;0.5;0.5;0.5000;13;0.5000;0.5000
100;100;0.5;0.5;0.5000;14;0.5000;0.5000
100;100;0.5;0.5;0.5000;15;0.5000;0.5000
100;100;0.5;0.5;0.5000;16;0.5000;0.5000
100;100;0.5;0.5;0.5000;17;0.5000;0.5000
100;100;0.5;0.5;0.5000;18;0.5000;0.5000
100;100;0.5;0.5;0.5000;19;0.5000;0.5000
100;100;0.5;0.5;0.5000;20;0.5000;0.5000
100;100;0.5;0.5;0.5000;21;0.5000;0.5000
100;100;0.5;0.5;0.5000;22;0.5000;0.5000
100;100;0.5;0.5;0.5000;23;0.5000;0.5000
100;100;0.5;0.5;0.5000;24;0.5000;0.5000
100;100;0.5;0.5;0.5000;25;0.5000;0.5000
100;100;0.5;0.5;0.5000;26;0.5000;0.5000
100;100;0.5;0.5;0.5000;27;0.5000;0.5000
100;100;0.5;0.5;0.5000;28;0.5000;0.5000
100;100;0.5;0.5;0.5000;29;0.5000;0.5000
100;100;0.5;0.5;0.5000;30;0.5000;0.5000
100;100;0.5;0.5;0.5000;31;0.5000;0.5000
100;100;0.5;0.5;0.5000;32;0.5000;0.5000
100;100;0.5;0.5;0.5000;33;0.5000;0.5000
100;100;0.5;0.5;0.5000;34;0.5000;0.5000
100;100;0.5;0.5;0.5000;35;0.5000;0.5000
100;100;0.5;0.5;0.5000;36;0.5000;0.5000
100;100;0.5;0.5;0.5000;37;0.5000;0.5000
100;100;0.5;0.5;0.5000;38;0.5000;0.5000
100;100;0.5;0.5;0.5000;39;0.5000;0.5000
100;100;0.5;0.5;0.5000;40;0.5000;0.5000
100;100;0.5;0.5;0.5000;41;0.5000;0.5000
100;100;0.5;0.5;0.5000;42;0.5000;0.5000
100;100;0.5;0.5;0.5000;43;0.5000;0.5000
100;100;0.5;0.5;0.5000;44;0.5000;0.5000
100;100;0.5;0.5;0.5000;45;0.5000;0.5000
100;100;0.5;0.5;0.5000;46;0.5000;0.5000
100;100;0.5;0.5;0.5000;47;0.5000;0.5000
100;100;0.5;0.5;0.5000;48;0.5000;0.5000
100;100;0.5;0.5;0.5000;49;0.5000;0.5000
100;100;0.5;0.5;0.5000;50;0.5000;0.5000
100;100;0.5;0.5;0.5000;51;0.5000;0.5000
100;100;0.5;0.5;0.5000;52;0.5000;0.5000
100;100;0.5;0.5;0.5000;53;0.5000;0.5000
100;100;0.5;0.5;0.5000;54;0.5000;0.5000
100;100;0.5;0.5;0.5000;55;0.5000;0.5000
100;100;0.5;0.5;0.5000;56;0.5000;0.5000
100;100;0.5;0.5;0.5000;57;0.5000;0.5000
100;100;0.5;0.5;0.5000;58;0.5000;0.5000
100;100;0.5;0.5;0.5000;59;0.5000;0.5000
50;100;0.5;0.5;0.6667;0;0.4958;0.5042
50;100;0.5;0.5;0.6667;1;0.4943;0.5057
50;100;0.5;0.5;0.6667;2;0.4934;0.5066
50;100;0.5;0.5;0.6667;3;0.4928;0.5072
50;100;0.5;0.5;0.6667;4;0.4922;0.5078
50;100;0.5;0.5;0.6667;5;0.4918;0.5082
50;100;0.5;0.5;0.6667;6;0.4915;0.5085
50;100;0.5;0.5;0.6667;7;0.4912;0.5088
50;100;0.5;0.5;0.6667;8;0.4909;0.5091
50;100;0.5;0.5;0.6667;9;0.4906;0.5094
50;100;0.5;0.5;0.6667;10;0.4904;0.5096
50;100;0.5;0.5;0.6667;11;0.4902;0.5098
50;100;0.5;0.5;0.6667;12;0.4900;0.5100
50;100;0.5;0.5;0.6667;13;0.4899;0.5101
50;100;0.5;0.5;0.6667;14;0.4897;0.5103
